question;answer
What is the capital of France?;Paris
What is the capital of Germany?;Berlin
What is the capital of Italy?;Rome
What is the capital of Spain?;Madrid
What is the capital of Portugal?;Lisbon
What is the capital of Russia?;Moscow
What is the capital of Japan?;Tokyo
What is the capital of China?;Beijing
What is the capital of India?;New Delhi
What is the capital of Canada?;Ottawa
What is the capital of Australia?;Canberra
What is the capital of Brazil?;Brasilia
What is the capital of Egypt?;Cairo
What is the capital of Mexico?;Mexico City
What is the capital of Turkey?;Ankara
